url;fornecedor;nome;preco;descricao;dimensoes;fotos
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche/beliche-ja-prisma-plus-branco;Atacadao;BELICHE JA PRISMA PLUS BRANCO;R$ 849,90;A beliche Prisma da J&A é ideal para quem procura um design clean e elegante. Reforçada com estrado de eucaliptus e pinus, com escada de dois degraus e lateral de proteção, garantem resistência e segurança. Especificações Material Principal: MDF (100%) Proteção lateral: Sim Escada com 2 degraus: Sim Estrado de Eucalipto e Pinus: Sim Dimensões Altura: 152 cm Largura: 196 cm Profundidade: 95 cm Garantia: 03 meses;Altura: 152 cm | Largura: 196 cm | Profundidade: 95 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/2c690ae84003.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/30e6e18d1d68.jpg
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=2770;Atacadao;CAMA JA CASAL ALASKA RIPADO NATURALE;R$ 699,90;A cama Alaska da J&A vai deixar seu quarto mais bonito e elegante. Esta cama suporta colchão de casal. Material: MDF Mkaterial dos pés: MDF Pintura em UV: sim Acompanha COLCHÃO: não;;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/fd564ff7b4b6.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=3098;Atacadao;CAMA LOPAS CASAL LEDER BEGE/CORANO AMENDOA CLEAN;R$ 1.399,90;A Cama De Casal Leder da Lopas vai deixar seu quarto mais bonito e elegante. Esta cama comporta colchão de 138 X 188 cm. Material Principal: MDP/MDF Cantos arredondados: sim Acompanha colchão: NÃO Pés em MDF: sim (50mm) Barras laterais em MDF: sim (25mm) Painéis da peseira e da cabeceira estofados: sim Detalhe em corino: sim Dispositivo antirruído: sim Ideal para colchões de 138cm: sim Dimensões Altura: 110 cm Largura: 207 cm Profundidade: 151 cm Garantia: 03 meses;Altura: 110 cm | Largura: 207 cm | Profundidade: 151 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/e3e2bd8dd780.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/b385f56d730f.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/2a5b261c6f02.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/33249e815ccc.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/04f1b4879eb1.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=1988;Atacadao;CAMA LOPAS CASAL REALI AMENDOA CLEAN;R$ 999,90;A cama Reali da Lopas vai deixar seu quarto mais bonito e elegante. Esta cama comporta colchão de 138 X 188 cm. Material Principal: MDP/MDF Acompanha colchão: NÃO Dispositivo Antirruído nos travessões da cama: sim Pés robustos: 04 Painel cabeceira com detalhes: sim Estrado com chapa de HDF: sim Dimensões Altura: 120 cm Largura: 149 cm Profundidade: 208,5 cm Garantia: 03 meses;Altura: 120 cm | Largura: 149 cm | Profundidade: 208,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/07238d2d8069.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/668a4f236e33.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche/cama-lopas-casal-reali-branco;Atacadao;CAMA LOPAS CASAL REALI BRANCO;R$ 999,90;A cama Reali da Lopas vai deixar seu quarto mais bonito e elegante. Esta cama comporta colchão de 138 X 188 cm. Material Principal: MDP/MDF Acompanha colchão: NÃO Dispositivo Antirruído nos travessões da cama: sim Pés robustos: 04 Painel cabeceira com detalhes: sim Estrado com chapa de HDF: sim Dimensões Altura: 120 cm Largura: 149 cm Profundidade: 208,5 cm Garantia: 03 meses;Altura: 120 cm | Largura: 149 cm | Profundidade: 208,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/540038a0abe7.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/a15d8cd5f52a.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/cama-e-beliche?product_id=1077;Atacadao;CAMA LOPAS SOLTEIRO ATHENAS PLUS S/AUXILIAR BRANCO;R$ 849,90;A cama Athenas plus de solteiro da Lopas vai deixar seu quarto mais bonito e elegante. Esta cama comporta colchão de 88 X 188 cm. Material Principal: MDP/MDF Acompanha colchão: NÃO Dispositivo Antirruído nos travessões da cama: sim Pés robustos: 04 Painel cabeceira com detalhes: sim Estrado com chapa de HDF: sim Dimensões Altura: 112,5 cm Largura: 98 cm Profundidade: 205 cm Garantia: 03 meses;Altura: 112,5 cm | Largura: 98 cm | Profundidade: 205 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/846343a5a901.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/e7648c4044ae.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-10g-rodial-torres-branco;Atacadao;COMODA 10G RODIAL TORRES BRANCO 1CO1022;R$ 699,90;Obs: A parte interna deste móvel é branco gelo. A Cômoda Torres da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Material Principal: MDP de 12mm Puxador em ABS: 10 Gaveta externa com corrediças plásticas: 10 Dimensões Altura: 91 cm Largura: 90,6 cm Profundidade: 38,5 cm Garantia: 03 meses;Altura: 91 cm | Largura: 90,6 cm | Profundidade: 38,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/a85283e5bbb8.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/2613d6180222.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda?product_id=2540;Atacadao;COMODA 10G RODIAL TORRES CINAMOMO 50CO1023;R$ 699,98;A Cômoda Torres da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Material Principal: MDP de 12mm Puxador em ABS: 10 Gaveta externa com corrediças plásticas: 10 Dimensões Altura: 91 cm Largura: 90,6 cm Profundidade: 38,5 cm Garantia: 03 meses;Altura: 91 cm | Largura: 90,6 cm | Profundidade: 38,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/ed8e0e4a97f9.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/138466ce705e.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-10g-rodial-torres-cinamomo-off-white-51co1023;Atacadao;COMODA 10G RODIAL TORRES CINAMOMO/OFF WHITE 51CO1023;R$ 699,90;A Cômoda Torres da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Especificações Material Principal: MDP de 12mm Revestimento/Acabamento: Pintura UV Puxador em ABS: 10 Gaveta externa com corrediças plásticas: 10 Dimensões Altura: 91 cm Largura: 90,6 cm Profundidade: 38,5 cm Garantia: 03 meses;Altura: 91 cm | Largura: 90,6 cm | Profundidade: 38,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/ed68091e56ef.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/fb82c1fc52ca.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-4g-1p-abrir-panan-malu-cinamomo-off-white;Atacadao;COMODA 4G 1P. ABRIR PANAN MALU CINAMOMO/OFF WHITE;R$ 1.349,90;A Comoda Malu da Panan é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Especificações Material: 100% MDF 04 Gavetas: Sim 01 Porta: Sim Acabamento em pintura UV: sim Puxadores em MDF: sim Corrediças telescópicas: sim Dimensões Altura: 110 cm Largura: 121,1 cm Profundidade: 46,7 cm Garantia: 03 meses;Altura: 110 cm | Largura: 121,1 cm | Profundidade: 46,7 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/43a1cdc2eb80.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/71e39362fe50.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/2fff57989e8d.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda?product_id=3855;Atacadao;COMODA 4G 1P. ABRIR TCIL CHICAGO C/PES CINAMOMO / OFF WHITE;R$ 759,90;Adicione charme no seu quarto com a cômoda Chicago. Corrediças telescópicas: sim Material: MDP Porta 15mm: sim Dimensões: Altura: 97 cm Largura: 104 cm Profundidade: 44 cm Garantia: 03 meses;Altura: 97 cm | Largura: 104 cm | Profundidade: 44 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/f01813cc5ba2.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-4g-1p-abrir-tcil-chicago-c-pes-neve-neve;Atacadao;COMODA 4G 1P. ABRIR TCIL CHICAGO C/PES NEVE/NEVE;R$ 759,90;Adicione charme no seu quarto com a cômoda chicago Especificações Material: MDP 01 Porta: Sim 04 Gavetas: Sim Porta 15mm: sim Corrediças telescópicas: sim Pés: Sim Dimensões: Altura: 91,5 cm Largura: 104,4 cm Profundidade: 44,8 cm Garantia: 03 meses;Altura: 91,5 cm | Largura: 104,4 cm | Profundidade: 44,8 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/cf1c97e0e678.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/31a064e6336a.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-4g-1p-abrir-tcil-guarani-cinamomo-off-white;Atacadao;COMODA 4G 1P. ABRIR TCIL GUARANI C/PES CINAMOMO/OFF WHITE;R$ 799,90;A Cômoda Guarani da Tcil é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Material Principal: MDP e MDF Corrediças Telescópicas: sim Puxadores em MDF: sim Kits pés: 04 Dimensões Altura: 91 cm Largura: 104 cm Profundidade: 44 cm Garantia: 03 meses;Altura: 91 cm | Largura: 104 cm | Profundidade: 44 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/506ca93916d9.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-4g-2p-abrir-c-espelho-albatroz-new-capri-quadriflex;Atacadao;COMODA 4G 2P. ABRIR C/ ESPELHO ALBATROZ NEW CAPRI QUADRIFLEX;R$ 999,90;Adicione charme no seu quarto com o Roupeiro New Capri da Albatroz Especificações Estrutura em MDP: Sim 04 Gavetas: Sim 02 Portas: Sim Pés inclusos: sim Puxadores em MDF revestidos: sim Espelho incluso: sim Corrediças telescópicas: sim Dimensões: Altura: 179 cm Largura: 103 cm Profundidade: 38 cm Garantia: 03 meses;Altura: 179 cm | Largura: 103 cm | Profundidade: 38 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/46e8f275b79a.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/6975fea2e6dd.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/2adf31708a0e.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-4g-2p-abrir-rodial-laguna-cinamomo-off-white;Atacadao;COMODA 4G 2P. ABRIR RODIAL LAGUNA CINAMOMO/OFF WHITE 51CO2430;R$ 799,90;A Cômoda Laguna da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas e será uma ótima opção para colocar uma televisão e objetos decorativos. Este móvel suporta uma TV de até 42 polegadas. Material Principal: MDP de 12mm/ 15mm Tampo de 25mm: sim Porta de abrir: 02 Gaveta externa com corrediças metálicas: 04 Puxador em MDF: 06 Prateleira: 02 Dimensões Altura: 101 cm Largura: 110,6 cm Profundidade: 41 cm Garantia: 03 meses;Altura: 101 cm | Largura: 110,6 cm | Profundidade: 41 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/164841fa6de2.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/02765c580c3a.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda?product_id=4509;Atacadao;COMODA 4G 2P. ABRIR RODIAL PAMPA C/PES BRANCO 11CO2425A.2026;R$ 839,90;A Cômoda Pampa da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas e será uma ótima opção para colocar objetos decorativos. Especificações Material Principal: MDP de 12mm/ 15mm Porta de abrir: 02 Gaveta externa com corrediças metálicas: 04 Puxador em MDF: 06 Cabideiro em madeira revestida: 01 Prateleira: 03 Dimensões Altura: 142,5 cm Largura: 109,4 cm Profundidade: 41 cm Garantia: 03 meses;Altura: 142,5 cm | Largura: 109,4 cm | Profundidade: 41 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/ee4dc3f7fd78.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-4g-2p-abrir-rodial-pampa-c-pes-cinamomo-off-white-51co2425a2026;Atacadao;COMODA 4G 2P. ABRIR RODIAL PAMPA C/PES CINAMOMO/OFF WHITE 51CO2425A.2026;R$ 839,90;A Cômoda Pampa da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas e será uma ótima opção para colocar objetos decorativos. Especificações Material Principal: MDP de 12mm/ 15mm Porta de abrir: 02 Gaveta externa com corrediças metálicas: 04 Puxador em MDF: 06 Cabideiro em madeira revestida: 01 Prateleira: 03 Possui Pés Dimensões Altura: 142,5 cm Largura: 109,4 cm Profundidade: 41 cm Garantia: 03 meses;Altura: 142,5 cm | Largura: 109,4 cm | Profundidade: 41 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/ee0eaa339627.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda?product_id=4085;Atacadao;COMODA 4G ROBEL CONCEPT PUX CAVA FREIJO/OFF WHITE LISO;R$ 1.199,90;A Cômoda Concept da Robel é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Material: 100% MDF Corrediças telescópicas: sim Abs reforçado: sim Puxador Cava: sim Dimensões Altura: 92 cm Largura: 96 cm Profundidade: 45cm Garantia: 03 meses;Altura: 92 cm | Largura: 96 cm | Profundidade: 45cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/229daf94b58b.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/10094e393350.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-5g-1p-abrir-rodial-corais-branco;Atacadao;COMODA 5G 1P. ABRIR RODIAL CORAIS BRANCO 1CO1522;R$ 499,90;Obs: A parte interna deste móvel é branco gelo. A Cômoda Corais da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Material Principal: MDP de 12 mm Porta de abrir: 01 Gaveta externa com corrediças plásticas: 05 Puxador em ABS: 06 Prateleira: 01 Dimensões Altura: 91 cm Largura: 68,2 cm Profundidade:38,5 cm Garantia: 03 meses;Altura: 91 cm | Largura: 68,2 cm | Profundidade: 38,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/75b4947aa28c.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/493038ebd34c.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda?product_id=2541;Atacadao;COMODA 5G 1P. ABRIR RODIAL CORAIS CINAMOMO/OFF WHITE 51CO1523;R$ 499,90;A Cômoda Corais da Rodial é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Especificações Material Principal: MDP de 12 mm Porta de abrir: 01 Gaveta externa com corrediças plásticas: 05 Puxador em ABS: 06 Prateleira: 01 Dimensões Altura: 91 cm Largura: 68,2 cm Profundidade:38,5 cm Garantia: 03 meses;Altura: 91 cm | Largura: 68,2 cm | Profundidade: 38,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/d7b0e055a96e.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/493038ebd34c.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda?product_id=4422;Atacadao;COMODA 5G ACP DIANA C/SAP C/CHAVE CINAMOMO/OFF WHITE;R$ 1.159,90;A Cômoda Diana da Acp é uma excelente opção para seu quarto porque permitirá que você organize uma grande quantidade de roupas. Sapateiras Laterais: sim Possui chave na primeira gaveta: sim Frente a comoda em MDF 15mm: sim Estrutura em MDF: sim Fundo em MDF: sim Corrediças metálicas: sim Pés inclusos: sim Dimensões Altura: 120 cm Largura: 120 cm Profundidade: 45,2 cm Garantia: 03 meses;Altura: 120 cm | Largura: 120 cm | Profundidade: 45,2 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/b0563a3701e4.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-5g-rodial-savana-branco-1co0522;Atacadao;COMODA 5G RODIAL SAVANA BRANCO 1CO0522;R$ 379,90;OBS: A PARTE INTERNA DESTE MÓVEL É BRANCO GELO A Cômoda Savana da Rodial tem um moderno padrão de cor e dá um toque de charme e elegância para o seu quarto. Especificações Material Principal: MDP de 12mm Revestimento/Acabamento: Pintura UV Puxador ABS: 05 Gaveta com corrediças plásticas: 05 Dimensões Altura: 91 cm Largura: 46 cm Profundidade: 38,5 cm Garantia: 03 meses;Altura: 91 cm | Largura: 46 cm | Profundidade: 38,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/8da1b8111e41.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/1c78f3e08489.webp
https://www.catalogoatacadaodosmoveis.com.br/quarto/comoda/comoda-5g-rodial-savana-cinamomo;Atacadao;COMODA 5G RODIAL SAVANA CINAMOMO 50CO0523;R$ 379,98;A Cômoda Savana da Rodial tem um moderno padrão de cor e dá um toque de charme e elegância para o seu quarto. Material Principal: MDP de 12mm Puxador ABS: 05 Gaveta com corrediças plásticas: 05 Dimensões Altura: 91 cm Largura: 46 cm Profundidade: 38,5 cm Garantia: 03 meses;Altura: 91 cm | Largura: 46 cm | Profundidade: 38,5 cm;https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/53a8f8b984eb.webp|https://dhsjxyuecrjsoneevxkx.supabase.co/storage/v1/object/public/fotos-produtos/atacadao/345fc462ab44.webp
